city,attacktype,group_name,date,targtype1_txt
Mexico city,Hostage Taking (Kidnapping),Unknown,8/25/1970,Private Citizens & Property
Mexico City,Bombing/Explosion,Unknown,12-03-1973,Government (Diplomatic)
Taxquena,Armed Assault,23rd of September Communist League,7/24/1978,Journalists & Media
Xalostoc,Armed Assault,23rd of September Communist League,08-04-1978,Government (Diplomatic)
Cordoba,Facility/Infrastructure Attack,28 February Armed Group,03-08-1980,Government (Diplomatic)
Cape Town,Bombing/Explosion,28s,01-12-2000,Police
Kladow,Bombing/Explosion,2nd of June Movement,02-02-1972,Police
West Berlin,Armed Assault,2nd of June Movement,12/15/1972,Utilities
Guatemala City,Bombing/Explosion,31 January People's Front (FP-31),6/19/1981,Military
Guatemala City,Bombing/Explosion,31 January People's Front (FP-31),6/19/1981,Government (General)
Athens,Bombing/Explosion,4 August National Organization,3/15/1982,Military
Athens,Bombing/Explosion,4 August National Organization,3/15/1982,Military
Athens,Bombing/Explosion,7 April Libyan Organization,10-07-1985,Airports & Aircraft
Athens,Bombing/Explosion,7 April Libyan Organization,10-07-1985,Government (General)
Tegucigalpa,Bombing/Explosion,9 May People's Liberation Force,7/20/1989,Business
La Ceiba,Bombing/Explosion,9 May People's Liberation Force,7/20/1989,Government (General)
Zaragoza,Bombing/Explosion,A Resistance Group,5/20/1986,Military
Kadudo,Bombing/Explosion,Aba Cheali Group,10-02-2013,Educational Institution
Eshkol regional council,Bombing/Explosion,Abdullah Azzam Brigades,07-09-2014,Business
Acre,Bombing/Explosion,Abdullah Azzam Brigades,8/22/2013,Business
Jolo,Hostage Taking (Kidnapping),Abu Sayyaf Group (ASG),03-10-2015,Police
Busbus,Bombing/Explosion,Abu Sayyaf Group (ASG),04-10-2015,Educational Institution
Wageasi,Hostage Taking (Kidnapping),Achik National Liberation Army (ANLA),02-03-2014,Educational Institution
Silki,Hostage Taking (Kidnapping),Achik National Liberation Army (ANLA),11/17/2015,Military
Dumnikura,Hostage Taking (Kidnapping),Achik Songna An'pachakgipa Kotok (ASAK),10/28/2016,Violent Political Party
Kolapara,Hostage Taking (Kidnapping),Achik Songna An'pachakgipa Kotok (ASAK),1/22/2017,Government (Diplomatic)
New Delhi,Bombing/Explosion,All India Sikh Students Federation (AISSF),03-08-1983,Government (Diplomatic)
Amritsar,Facility/Infrastructure Attack,All India Sikh Students Federation (AISSF),3/27/1986,Business
Kathmandu,Facility/Infrastructure Attack,All Nepal National Free Student Union-Revolutionary,2/13/2017,Private Citizens & Property
Guwahati,Armed Assault,All Tripura Tiger Force (ATTF),2/16/1997,Private Citizens & Property
Salisbury,Bombing/Explosion,Zimbabwe African People's Union,2/13/1979,Police
Umtali,Assassination,Zimbabwe African People's Union,6/23/1978,Government (General)
Kabul,Bombing/Explosion,Taliban,08-04-2009,Police
Dih Sabz,Bombing/Explosion,Taliban,8/15/2009,Government (General)
Pikit,Unknown,Moro Islamic Liberation Front (MILF),9/15/1996,Police
Buldon,Bombing/Explosion,Moro Islamic Liberation Front (MILF),1/16/1997,Religious Figures/Institutions
Meftah,Assassination,Moslem Activists,4/26/1994,Unknown
Bougara,Armed Assault,Moslem Activists,5/26/1994,Business
Tchin-Tabarade district,Unknown,Movement for Oneness and Jihad in West Africa (MUJAO),4/28/2016,Military
Dakoro,Hostage Taking (Kidnapping),Movement for Oneness and Jihad in West Africa (MUJAO),10/14/2012,Military
Ziguinchor,Bombing/Explosion,Movement of Democratic Forces of Casamance,5/19/1990,Police
Ziguinchor,Armed Assault,Movement of Democratic Forces of Casamance,7/23/1990,Government (General)
Abaji,Bombing/Explosion,Movement for the Emancipation of the Niger Delta (MEND),6/15/2013,Police
Budapest,Bombing/Explosion,Movement for the Protection of Jerusalem,12/23/1991,Business
Paris,Bombing/Explosion,Movement for the Supremacy of Reason,10-01-1989,Business
San Pablo,Assassination,Movement for Triqui Unification and Struggle,11/18/1991,Business
Sderot,Bombing/Explosion,Mujahedeen Shura Council in the Environs of Jerusalem,3/21/2013,Private Citizens & Property
Eilat,Bombing/Explosion,Mujahedeen Shura Council in the Environs of Jerusalem,4/17/2013,Transportation
Paris,Facility/Infrastructure Attack,Muslim extremists,11-06-1994,Government (General)
